index,name,primaryMuscles,instructions
1,3/4 Sit-Up,abdominals,"['Lie down on the floor and secure your feet. Your legs should be bent at the knees.', 'Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position.', 'Flex your hips and spine to raise your torso toward your knees.', 'At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only ¾ of the way down.', 'Repeat for the recommended amount of repetitions.']"
2,Ab Crunch Machine,abdominals,"['Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.', 'At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet.', 'After a second pause, slowly return to the starting position as you breathe in.', 'Repeat the movement for the prescribed amount of repetitions.']"
3,Ab Roller,abdominals,"['Hold the Ab Roller with both hands and kneel on the floor.', 'Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position.', 'Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement.', 'After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.']"
4,Advanced Kettlebell Windmill,abdominals,"['Clean and press a kettlebell overhead with one arm.', 'Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell.', 'Lower yourself as far as possible.', 'Pause for a second and reverse the motion back to the starting position.']"
5,Air Bike,abdominals,"['Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position.', 'Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position.', 'Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out.', 'Go back to the initial position as you breathe in.', 'Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale.', 'Continue alternating in this manner until all of the recommended repetitions for each side have been completed.']"
6,Alternate Heel Touchers,abdominals,"['Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.', 'Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement.', 'Now go back slowly to the starting position as you inhale.', 'Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition.', 'Continue alternating sides in this manner until all prescribed repetitions are done.']"
7,Barbell Ab Rollout,abdominals,"['For this exercise you will need to get into a pushup position, but instead of having your hands of the floor, you will be grabbing on to an Olympic barbell (loaded with 5-10 lbs on each side) instead. This will be your starting position.', ""While keeping a slight arch on your back, lift your hips and roll the barbell towards your feet as you exhale. Tip: As you perform the movement, your glutes should be coming up, you should be keeping the abs tight and should maintain your back posture at all times. Also your arms should be staying perpendicular to the floor throughout the movement. If you don't, you will work out your shoulders and back more than the abs."", 'After a second contraction at the top, start to roll the barbell back forward to the starting position slowly as you inhale.', 'Repeat for the recommended amount of repetitions.']"
8,Barbell Ab Rollout - On Knees,abdominals,"['Hold an Olympic barbell loaded with 5-10lbs on each side and kneel on the floor.', 'Now place the barbell on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position.', 'Slowly roll the barbell straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement.', 'After a second pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.']"
9,Barbell Rollout from Bench,abdominals,"['Place a loaded barbell on the ground, near the end of a bench. Kneel with both legs on the bench, and take a medium to narrow grip on the barbell. This will be your starting position.', 'To begin, extend through the hips to slowly roll the bar forward. As you roll out, flex the shoulder to roll the bar above your head. Ensure that your arms remain extended throughout the movement.', 'When the bar has been moved as far forward as possible, return to the starting position.']"
10,Barbell Side Bend,abdominals,"['Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be shoulder width apart. This will be your starting position.', 'While keeping your back straight and your head up, bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary.', 'Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
